rfid,Temperature,Humidity,Speed,Treatment code,transition
44 B2 92 05 08 00 12 E0,89.6,37,3.8,1,0
44 B2 92 05 08 00 12 E0,90.9,35,1.6,1,8.778
44 B2 92 05 08 00 12 E0,90.9,35,1.6,1,0.529
44 B2 92 05 08 00 12 E0,90.9,35,1.6,1,0.497
5E B2 92 05 08 00 12 E0,80.6,47,5.4,0,0
5E B2 92 05 08 00 12 E0,80.6,47,5.4,0,0.5
5E B2 92 05 08 00 12 E0,80.6,47,5.4,0,5.083
32 B2 92 05 08 00 12 E0,80.6,47,5.4,1,0
32 B2 92 05 08 00 12 E0,80.6,47,5.4,1,1.005
32 B2 92 05 08 00 12 E0,80.6,47,5.4,1,0.5
32 B2 92 05 08 00 12 E0,80.6,47,5.4,1,0.489
32 B2 92 05 08 00 12 E0,80.6,47,5.4,1,3.598
32 B2 92 05 08 00 12 E0,80.6,47,5.4,1,14.416
32 B2 92 05 08 00 12 E0,80.6,47,5.4,1,0.51
32 B2 92 05 08 00 12 E0,80.6,47,5.4,1,0.496
32 B2 92 05 08 00 12 E0,80.6,47,5.4,1,0.497
32 B2 92 05 08 00 12 E0,80.6,47,5.4,1,0.495
32 B2 92 05 08 00 12 E0,80.6,47,5.4,1,0.496
32 B2 92 05 08 00 12 E0,80.6,47,5.4,1,0.498
32 B2 92 05 08 00 12 E0,80.6,47,5.4,1,0.497
32 B2 92 05 08 00 12 E0,80.6,47,5.4,1,0.49
32 B2 92 05 08 00 12 E0,80.6,47,5.4,1,0.495
32 B2 92 05 08 00 12 E0,80.6,47,5.4,1,0.497
32 B2 92 05 08 00 12 E0,80.6,47,5.4,1,0.491
32 B2 92 05 08 00 12 E0,80.6,47,5.4,1,0.489
32 B2 92 05 08 00 12 E0,80.6,47,5.4,1,0.495
32 B2 92 05 08 00 12 E0,80.6,47,5.4,1,0.497
32 B2 92 05 08 00 12 E0,80.6,47,5.4,1,0.495
32 B2 92 05 08 00 12 E0,80.6,47,5.4,1,0.5
32 B2 92 05 08 00 12 E0,80.6,47,5.4,1,0.496
32 B2 92 05 08 00 12 E0,80.6,47,5.4,1,0.489
32 B2 92 05 08 00 12 E0,80.6,47,5.4,1,0.501
32 B2 92 05 08 00 12 E0,80.6,47,5.4,1,0.489
32 B2 92 05 08 00 12 E0,80.6,47,5.4,1,0.483
32 B2 92 05 08 00 12 E0,80.6,47,5.4,1,0.498
32 B2 92 05 08 00 12 E0,80.6,47,5.4,1,2.559
32 B2 92 05 08 00 12 E0,80.6,47,5.4,1,0.501
32 B2 92 05 08 00 12 E0,80.6,47,5.4,1,0.495
32 B2 92 05 08 00 12 E0,80.6,47,5.4,1,0.502
32 B2 92 05 08 00 12 E0,80.6,47,5.4,1,0.495
32 B2 92 05 08 00 12 E0,80.6,47,5.4,1,0.491
32 B2 92 05 08 00 12 E0,80.6,47,5.4,1,0.502
32 B2 92 05 08 00 12 E0,80.6,47,5.4,1,6505.94
32 B2 92 05 08 00 12 E0,80.6,47,5.4,1,0.493
32 B2 92 05 08 00 12 E0,80.6,47,5.4,1,0.478
32 B2 92 05 08 00 12 E0,80.6,47,5.4,1,0.46
52 B2 92 05 08 00 12 E0,80.6,47,5.4,0,0
52 B2 92 05 08 00 12 E0,80.6,47,5.4,0,6.068
52 B2 92 05 08 00 12 E0,80.6,47,5.4,0,0.489
B8 AB 92 05 08 00 12 E0,77.5,63,4.5,0,0
76 A8 92 05 08 00 12 E0,77.5,63,4.5,1,0
76 A8 92 05 08 00 12 E0,77.5,63,4.5,1,7.283
B7 AB 92 05 08 00 12 E0,77.5,63,4.5,1,0
B7 AB 92 05 08 00 12 E0,77.5,63,4.5,1,0.498
B7 AB 92 05 08 00 12 E0,77.5,63,4.5,1,11.508
B7 AB 92 05 08 00 12 E0,77.5,63,4.5,1,0.497
B7 AB 92 05 08 00 12 E0,77.5,63,4.5,1,0.497
B7 AB 92 05 08 00 12 E0,77.5,63,4.5,1,0.495
B7 AB 92 05 08 00 12 E0,77.5,63,4.5,1,0.496
B7 AB 92 05 08 00 12 E0,77.5,63,4.5,1,0.491
B7 AB 92 05 08 00 12 E0,77.5,63,4.5,1,0.497
B7 AB 92 05 08 00 12 E0,77.5,63,4.5,1,0.485
B7 AB 92 05 08 00 12 E0,77.5,63,4.5,1,0.495
20 B2 92 05 08 00 12 E0,77.5,63,4.5,0,0
20 B2 92 05 08 00 12 E0,77.5,63,4.5,0,10.263
20 B2 92 05 08 00 12 E0,77.5,63,4.5,0,0.496
20 B2 92 05 08 00 12 E0,77.5,63,4.5,0,0.491
20 B2 92 05 08 00 12 E0,77.5,63,4.5,0,0.495
20 B2 92 05 08 00 12 E0,77.5,63,4.5,0,0.495
20 B2 92 05 08 00 12 E0,77.5,63,4.5,0,0.498
20 B2 92 05 08 00 12 E0,77.5,63,4.5,0,0.49
7C AB 92 05 08 00 12 E0,67.1,44,1.6,1,0
7C AB 92 05 08 00 12 E0,67.1,44,1.6,1,0.981
7C AB 92 05 08 00 12 E0,67.1,44,1.6,1,0.468
7C AB 92 05 08 00 12 E0,62.4,98,0,1,0
7C AB 92 05 08 00 12 E0,62.4,98,0,1,0.888
E6 B5 92 05 08 00 12 E0,66.2,72,0.7,1,0
E6 B5 92 05 08 00 12 E0,66.2,72,0.7,1,4.855
E6 B5 92 05 08 00 12 E0,66.2,72,0.7,1,344.492
E6 B5 92 05 08 00 12 E0,66.2,72,0.7,1,1.388
E6 B5 92 05 08 00 12 E0,66.2,72,0.7,1,0.431
E6 B5 92 05 08 00 12 E0,66.2,72,0.7,1,11.08
E6 B5 92 05 08 00 12 E0,66.2,72,0.7,1,0.477
E6 B5 92 05 08 00 12 E0,66.2,72,0.7,1,8.561
E6 B5 92 05 08 00 12 E0,66.2,72,0.7,1,0.472
E6 B5 92 05 08 00 12 E0,66.2,72,0.7,1,18.535
E6 B5 92 05 08 00 12 E0,83.7,53,3.8,1,0
E6 B5 92 05 08 00 12 E0,83.7,53,3.8,1,23.627
E6 B5 92 05 08 00 12 E0,83.7,53,3.8,1,0.432
E6 B5 92 05 08 00 12 E0,83.7,53,3.8,1,0.425
E6 B5 92 05 08 00 12 E0,83.7,53,3.8,1,0.427
E6 B5 92 05 08 00 12 E0,83.7,53,3.8,1,0.42
E6 B5 92 05 08 00 12 E0,83.7,53,3.8,1,356.827
E6 B5 92 05 08 00 12 E0,83.7,53,3.8,1,0.42
E6 B5 92 05 08 00 12 E0,83.7,53,3.8,1,0.456
E6 B5 92 05 08 00 12 E0,83.7,53,3.8,1,0.433
E6 B5 92 05 08 00 12 E0,83.7,53,3.8,1,66.788
E6 B5 92 05 08 00 12 E0,83.7,53,3.8,1,0.432
FA B0 92 05 08 00 12 E0,66.2,72,0.7,1,0
FA B0 92 05 08 00 12 E0,66.2,72,0.7,1,0.445
FA B0 92 05 08 00 12 E0,66.2,72,0.7,1,3.15
FA B0 92 05 08 00 12 E0,66.2,72,0.7,1,0.465
FA B0 92 05 08 00 12 E0,66.2,72,0.7,1,0.441
FA B0 92 05 08 00 12 E0,66.2,72,0.7,1,0.438
FA B0 92 05 08 00 12 E0,66.2,72,0.7,1,0.477
FA B0 92 05 08 00 12 E0,66.2,72,0.7,1,0.417
FA B0 92 05 08 00 12 E0,66.2,72,0.7,1,0.443
FA B0 92 05 08 00 12 E0,66.2,72,0.7,1,0.451
FA B0 92 05 08 00 12 E0,66.2,72,0.7,1,0.445
FA B0 92 05 08 00 12 E0,66.2,72,0.7,1,0.446
FA B0 92 05 08 00 12 E0,66.2,72,0.7,1,0.435
FA B0 92 05 08 00 12 E0,66.2,72,0.7,1,0.504
FA B0 92 05 08 00 12 E0,66.2,72,0.7,1,0.436
FA B0 92 05 08 00 12 E0,66.2,72,0.7,1,0.466
FA B0 92 05 08 00 12 E0,66.2,72,0.7,1,0.441
42 B2 92 05 08 00 12 E0,66.2,72,0.7,0,0
42 B2 92 05 08 00 12 E0,66.2,72,0.7,0,5.173
42 B2 92 05 08 00 12 E0,66.2,72,0.7,0,0.443
64 B4 92 05 08 00 12 E0,66.2,72,0.7,1,0
64 B4 92 05 08 00 12 E0,66.2,72,0.7,1,0.441
64 B4 92 05 08 00 12 E0,66.2,72,0.7,1,0.933
64 B4 92 05 08 00 12 E0,66.2,72,0.7,1,0.433
64 B4 92 05 08 00 12 E0,66.2,72,0.7,1,0.479
64 B4 92 05 08 00 12 E0,66.2,72,0.7,1,0.434
64 B4 92 05 08 00 12 E0,66.2,72,0.7,1,0.483
64 B4 92 05 08 00 12 E0,66.2,72,0.7,1,0.436
64 B4 92 05 08 00 12 E0,66.2,72,0.7,1,0.455
64 B4 92 05 08 00 12 E0,66.2,72,0.7,1,0.441
64 B4 92 05 08 00 12 E0,66.2,72,0.7,1,0.476
64 B4 92 05 08 00 12 E0,66.2,72,0.7,1,0.439
